"ServiceName","ResourceName","ResourceGroup","TlsVersion","Location","AdditionalInfo"
"Azure App Service","alonso-roy","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: alonso-roy.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","cich","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: cich.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","ecocanal","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: ecocanal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","academiadelacuenca","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: academiadelacuenca.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","multimedia-panama-canal","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: multimedia-panama-canal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","portal-empleo-prd","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: portal-empleo-prd.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","calendario-prod","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: calendario-prod.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","advbrd-panama-canal","swsf-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: advbrd-panama-canal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","asem-app","asem-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: asem-app.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","asem-eus2-apia-prd-01","asem-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: asem-eus2-apia-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","asem-eus2-func-prd-01","asem-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: asem-eus2-func-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","dgen-eus2-app-prd-01","dgen-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: dgen-eus2-app-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","agua-micanaldepanama","swwp-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: agua-micanaldepanama.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","empleos-micanaldepanama","swwp-eus2-rg-prd-02","1.2","East US 2","DefaultHostName: empleos-micanaldepanama.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","greenroute-micanal","swwp-eus2-rg-prd-03","1.2","East US 2","DefaultHostName: greenroute-micanal.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","5570-eus2-app-prd-01","efor-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: 5570-eus2-app-prd-01.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","1199-eus2-app-prd-01","efor-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: 1199-eus2-app-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","eFormApprovalapp","efor-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: eformapprovalapp.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","micanalpruebas","micanalpanama-eus2-rg-test-01","1.2","East US 2","DefaultHostName: micanalpruebas.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","micanaldepanama","micanalapp-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: micanaldepanama.azurewebsites.net; Sku: ; State: Stopped"
"Azure App Service","miragenetec-eus2-app-prd-01","miragenetec-eus2-rg-prd-01","1.2","East US 2","DefaultHostName: miragenetec-eus2-app-prd-01.azurewebsites.net; Sku: ; State: Running"
"Azure App Service","PublicCalcServ-Fn-App-01-prod","AZ_SWA-FN_APP_Calculadora","1.2","East US 2","DefaultHostName: publiccalcserv-fn-app-01-prod.azurewebsites.net; Sku: ; State: Running"
